,종목이름,종목코드,21_1Q_매출액,21_1Q_영업이익,21_1Q_순이익,21_2Q_매출액,21_2Q_영업이익,21_2Q_순이익,21_3Q_매출액,21_3Q_영업이익,21_3Q_순이익,21_4Q_매출액,21_4Q_영업이익,21_4Q_순이익,22_1Q_매출액,22_1Q_영업이익,22_1Q_순이익
0,동화약품,[000020],71827235183.0,5119344079.0,5510603248.0,75802350156.0,7199614803.0,7039930999.0,69071143577.0,3664566950.0,787996714.0,76317383112.0,6512825144.0,6244271247.0,85294133984.0,9053120555.0,5801167250.0
1,KR모터스,[000040],22700113685.0,-894817785.0,-2094939089.0,37992143662.0,1339663853.0,-1393239568.0,34504672071.0,-229499897.0,-1749669582.0,38313508504.0,-2912964193.0,-6686709404.0,29150539327.0,-1352668157.0,-3055328173.0
2,경방,[000050],82570752134.0,13337575719.0,6839953083.0,93960376694.0,8620297111.0,10381436230.0,93476717032.0,9566077780.0,799403192.0,113000000000.0,22272864590.0,4261087432.0,96786200686.0,18642739078.0,15128919424.0
3,삼양홀딩스,[000070],701000000000.0,83733000000.0,86833000000.0,785000000000.0,115000000000.0,85849000000.0,821000000000.0,122000000000.0,91025000000.0,800000000000.0,31052000000.0,10379000000.0,822000000000.0,49503000000.0,51190000000.0
4,하이트진로,[000080],535000000000.0,52919507116.0,29138299424.0,565000000000.0,42625014066.0,23688706136.0,557000000000.0,44867454287.0,13371224770.0,545000000000.0,33699129431.0,5573407193.0,584000000000.0,58092180236.0,37079236731.0
5,유한양행,[000100],379000000000.0,13900978641.0,20114280650.0,433000000000.0,23427315378.0,33220936937.0,451000000000.0,6515739758.0,30068350346.0,424000000000.0,4752086487.0,15723109940.0,411000000000.0,6101960508.0,16069140855.0
6,CJ대한통운,[000120],2690000000000.0,48119805699.0,18638362486.0,2750000000000.0,90579287805.0,49363416156.0,2850000000000.0,105000000000.0,39545188172.0,3060000000000.0,99833363582.0,50732729431.0,2860000000000.0,75661609962.0,31531533077.0
7,하이트진로홀딩스,[000140],532000000000.0,56269033207.0,26805630610.0,563000000000.0,46088517291.0,23384087306.0,555000000000.0,48204082029.0,10933174448.0,542000000000.0,37844967085.0,6232291945.0,581000000000.0,61534704424.0,35256070125.0
8,두산,[000150],4520000000000.0,398000000000.0,402000000000.0,2290000000000.0,174000000000.0,200000000000.0,3790000000000.0,259000000000.0,-1810440805.0,2600000000000.0,114000000000.0,56135372691.0,3420000000000.0,188000000000.0,14831331616.0
9,성창기업지주,[000180],45118587920.0,4691258422.0,4913331377.0,52779274198.0,7200158324.0,5180207110.0,48046443676.0,4504876179.0,4917676753.0,51996007267.0,-5924443255.0,-9073184111.0,53012442231.0,-1324349498.0,-2054886625.0
10,DL,[000210],510000000000.0,65951240377.0,325000000000.0,581000000000.0,47454842793.0,450000000000.0,623000000000.0,74541521721.0,97349985665.0,672000000000.0,33945792791.0,2911389161.0,883000000000.0,32261385587.0,108000000000.0
11,유유제약,[000220],26495227966.0,456440757.0,543154705.0,28229930448.0,470259299.0,333545078.0,29782895575.0,583995246.0,-206973172.0,31147431008.0,-310527079.0,-1590015678.0,35526188981.0,572161000.0,-72931206.0
12,일동홀딩스,[000230],142000000000.0,-21539433868.0,-21658380489.0,149000000000.0,-14633840720.0,5092835872.0,151000000000.0,-19814676959.0,-10766226733.0,151000000000.0,-26855750854.0,-107000000000.0,168000000000.0,-15588993462.0,-128000000000.0
13,한국앤컴퍼니,[000240],237000000000.0,67408427139.0,63882478622.0,231000000000.0,59574281473.0,51818157203.0,244000000000.0,66399093826.0,61919392498.0,251000000000.0,34923398046.0,23380647485.0,270000000000.0,44036702815.0,39851966905.0
14,삼천당제약,[000250],39563000664.0,-4219106661.0,-3190972478.0,41450535743.0,-2020085977.0,-1393194486.0,42572330372.0,-8905505420.0,-2097295529.0,43689037096.0,-148389243.0,-3679423963.0,41817880455.0,3598639777.0,3047946746.0
15,기아,[000270],16600000000000.0,1080000000000.0,1040000000000.0,18300000000000.0,1490000000000.0,1340000000000.0,17800000000000.0,1330000000000.0,1130000000000.0,17200000000000.0,1180000000000.0,1250000000000.0,18400000000000.0,1610000000000.0,1030000000000.0
16,대유플러스,[000300],123000000000.0,3065098524.0,2583013839.0,113000000000.0,1619532345.0,-724674522.0,130000000000.0,5568418820.0,2888664647.0,145000000000.0,2904290924.0,-2761892498.0,119000000000.0,6066718243.0,3517636111.0
17,노루홀딩스,[000320],203000000000.0,6177259970.0,6057371452.0,263000000000.0,6733165992.0,4212182338.0,238000000000.0,7360784914.0,5924439337.0,251000000000.0,6388474820.0,-5486203454.0,228000000000.0,5126783832.0,2945098118.0
18,삼화페인트,[000390],130000000000.0,263660308.0,297702770.0,180000000000.0,675072287.0,-1473956528.0,148000000000.0,-1349385815.0,-668082742.0,174000000000.0,1234313148.0,-581334790.0,150000000000.0,2301434292.0,960767982.0
19,대원강업,[000430],222000000000.0,-1128920544.0,-342333158.0,247000000000.0,-448966432.0,2502826419.0,175000000000.0,-2932281984.0,-13655591899.0,218000000000.0,-448342446.0,8637726731.0,234000000000.0,3149378757.0,663261029.0
20,중앙에너비스,[000440],12848214597.0,262034672.0,269930916.0,14754633155.0,-365757955.0,-256345790.0,16532032887.0,181919312.0,308946874.0,16577697075.0,-40240336.0,-71075043.0,16036467292.0,428998546.0,553052502.0
21,조선내화,[000480],179000000000.0,8734814896.0,4102542894.0,180000000000.0,6981403578.0,19760174929.0,187000000000.0,10432616239.0,5731842654.0,200000000000.0,6989612887.0,3801612197.0,197000000000.0,9162784366.0,14969056005.0
22,대동,[000490],297000000000.0,26238271080.0,21264112344.0,338000000000.0,23863459311.0,17305649296.0,258000000000.0,7349279339.0,5603248362.0,286000000000.0,-19244878960.0,-9501046979.0,357000000000.0,21560601875.0,12557378720.0
23,가온전선,[000500],236000000000.0,3754854186.0,1989912337.0,269000000000.0,3444322029.0,1787627347.0,268000000000.0,3904938342.0,1545158445.0,298000000000.0,5467663331.0,531730783.0,333000000000.0,6198518099.0,3852777425.0
24,삼일제약,[000520],32220159325.0,1576259451.0,608437152.0,33932923667.0,171287382.0,-1153280437.0,33797503758.0,217593473.0,-1671461079.0,34296191137.0,-1565399538.0,-3130358280.0,45850300778.0,2347482522.0,335803412.0
25,CS홀딩스,[000590],37968720563.0,3828122951.0,5077336991.0,39963589587.0,6189742804.0,5262408392.0,38250687403.0,5465617961.0,8356913211.0,42834957756.0,4164217943.0,2369162188.0,44342151518.0,3631007372.0,4070259579.0
26,동아쏘시오홀딩스,[000640],192000000000.0,5448000357.0,793537030.0,217000000000.0,18377933823.0,15907776903.0,238000000000.0,20135686342.0,62677009923.0,234000000000.0,17602567508.0,-18866628008.0,223000000000.0,-2001396752.0,-4566615413.0
27,천일고속,[000650],6400227739.0,-2604366020.0,-2309950546.0,7446018204.0,-3202441878.0,5909793004.0,7404267251.0,-2465258719.0,-1959581746.0,8092441310.0,-1571998620.0,-2208242338.0,7271415631.0,-3168442792.0,-4054233339.0
28,SK하이닉스,[000660],8490000000000.0,1320000000000.0,993000000000.0,10300000000000.0,2690000000000.0,1990000000000.0,11800000000000.0,4170000000000.0,3320000000000.0,12400000000000.0,4220000000000.0,3320000000000.0,12200000000000.0,2860000000000.0,1980000000000.0
29,영풍,[000670],830000000000.0,8303216822.0,64311494846.0,800000000000.0,7277750503.0,50542245825.0,963000000000.0,-36226711749.0,28114545917.0,989000000000.0,-6138569938.0,27095260006.0,1060000000000.0,50175021419.0,80017090554.0
30,LS네트웍스,[000680],90605912298.0,-2664357065.0,17616868301.0,101000000000.0,2713664908.0,20869808211.0,90692528506.0,-387476443.0,15189970109.0,108000000000.0,4647238189.0,6411656212.0,83981889754.0,487456406.0,6596346124.0
31,유수홀딩스,[000700],107000000000.0,2125833695.0,7310457865.0,114000000000.0,2601474751.0,5176577307.0,132000000000.0,6666394700.0,12303526764.0,151000000000.0,8953773444.0,14376620464.0,147000000000.0,8167237636.0,10992138724.0
32,현대건설,[000720],4150000000000.0,201000000000.0,194000000000.0,4380000000000.0,141000000000.0,84934000000.0,4350000000000.0,220000000000.0,148000000000.0,5180000000000.0,191000000000.0,127000000000.0,4150000000000.0,171000000000.0,183000000000.0
33,이화산업,[000760],13556646700.0,-1055734734.0,63336929724.0,12907918339.0,-2993291527.0,-3744469020.0,13640906355.0,-1336022859.0,-745982521.0,17669640503.0,419859612.0,327358866.0,14391303714.0,450974040.0,783037111.0
34,화천기공,[000850],43738858565.0,-263939436.0,391999958.0,53506478026.0,2633842601.0,4573840995.0,50978958955.0,639667597.0,3448052912.0,55747993945.0,312968492.0,899713680.0,54940919076.0,1608600552.0,3368253926.0
35,강남제비스코,[000860],108000000000.0,-609903133.0,90144239433.0,167000000000.0,-995567202.0,-4989825440.0,148000000000.0,-4592521282.0,-1764972910.0,168000000000.0,-6521983357.0,-35946999647.0,164000000000.0,3842819371.0,4342899862.0
